29170d29169
> "2019312986","2019312986544400","5444","0","traf-habitual-offender","all-other-crimes","5/19/2019 1:42:00 PM","","5/19/2019 5:39:00 PM","W COLFAX AVE / I25 HWYNB","3136682","1694949","-105.01396610","39.74043540","1","123","lincoln-park","1","0"
> "2019308125","2019308125570700","5707","0","criminal-trespassing","all-other-crimes","5/17/2019 7:20:00 AM","","5/17/2019 7:20:00 AM","1701 CHESTNUT PL","3139922","1700233","-105.00234210","39.75489280","6","612","union-station","1","0"
> "2019312516","2019312516239900","2399","0","theft-other","larceny","5/17/2019 9:00:00 PM","5/19/2019 7:27:00 AM","5/19/2019 7:27:00 AM","4647 PACKING HOUSE RD","3147541","1710305","-104.97503730","39.78242420","1","112","elyria-swansea","1","0"
> "2019312121","2019312121531300","5313","0","curfew","public-disorder","5/19/2019 12:39:00 AM","","5/19/2019 1:24:00 AM","","3125613","1699480","-105.053247","39.75302980","1","121","sloan-lake","1","0"
> "2019313331","2019313331110200","1102","0","sex-aslt-rape","sexual-assault","5/15/2019 10:20:00 PM","","5/19/2019 5:09:00 PM","","","","","","4","412","westwood","1","0"
> "2019310637","2019310637549900","5499","0","traf-other","all-other-crimes","5/18/2019 9:49:00 AM","","5/18/2019 10:31:00 AM","E 40TH AVE / N NOME ST","3182223","1707062","-104.85172210","39.772907","5","512","stapleton","1","0"
> "2019308721","2019308721220200","2202","0","burglary-residence-by-force","burglary","5/17/2019 12:40:00 PM","5/17/2019 12:42:00 PM","5/17/2019 12:42:00 PM","1642 N PEARL ST","3146341","1695767","-104.97960320","39.74253410","6","621","north-capitol-hill","1","0"
> "2019310943","2019310943299900","2999","0","criminal-mischief-other","public-disorder","5/18/2019 1:00:00 PM","","5/18/2019 1:20:00 PM","","3155000","1708198","-104.94854380","39.77651890","2","212","elyria-swansea","1","0"
> "2019311928","2019311928240400","2404","0","theft-of-motor-vehicle","auto-theft","5/18/2019 9:33:00 PM","","5/19/2019 1:23:00 AM","3500 BLK N COOK ST","3155221","1704661","-104.947834","39.76680570","2","212","clayton","1","0"
> "2019309715","2019309715357200","3572","0","drug-methampetamine-possess","drug-alcohol","5/17/2019 8:07:00 PM","","5/17/2019 8:07:00 PM","4100 N KITTREDGE ST","3196482","1707421","-104.80098630","39.77360220","5","522","gateway-green-valley-ranch","1","0"
> "2019308062","2019308062240400","2404","0","theft-of-motor-vehicle","auto-theft","5/16/2019 10:00:00 PM","5/17/2019 5:00:00 AM","5/17/2019 8:15:00 AM","","3204202","1714636","-104.77331710","39.79324180","5","522","gateway-green-valley-ranch","1","0"
> "2019308594","2019308594570700","5707","0","criminal-trespassing","all-other-crimes","5/17/2019 11:30:00 AM","","5/17/2019 12:57:00 PM","100 BLK W ALAMEDA AVE","3143160","1684444","-104.99114040","39.71149970","3","311","baker","1","0"
> "2019306523","2019306523131302","1313","2","assault-dv","other-crimes-against-persons","5/16/2019 2:55:00 PM","","5/16/2019 2:55:00 PM","4781 N CARSON ST","3187929","1710196","-104.83134110","39.78139660","5","521","montbello","1","0"
> "2019313847","2019313847131500","1315","0","aggravated-assault","aggravated-assault","5/19/2019 11:31:00 PM","","5/19/2019 11:31:00 PM","4420 N PERRY ST","3129594","1708282","-105.03892960","39.77713820","1","111","berkeley","1","0"
